,especie,fecha,apertura,maximo,minimo,cierre,volumen,timestamp
0,GD35D,2020-09-15,44.3,45.75,44.1,45.0,1435713,1600138800
1,GD35D,2020-09-16,45.0,45.0,42.3,42.99,530798,1600225200
2,GD35D,2020-09-17,42.0,42.5,40.0,41.5,1217661,1600311600
3,GD35D,2020-09-18,42.75,42.75,40.9,41.0,693956,1600398000
4,GD35D,2020-09-21,41.0,41.0,39.0,40.49,602298,1600657200
5,GD35D,2020-09-22,40.44,40.44,39.0,39.3,632187,1600743600
6,GD35D,2020-09-23,39.0,40.7,38.35,40.4,1805998,1600830000
7,GD35D,2020-09-24,40.37,41.98,39.5,41.0,1441604,1600916400
8,GD35D,2020-09-25,42.0,42.0,40.75,41.25,855985,1601002800
9,GD35D,2020-09-28,41.99,42.0,40.9,41.0,683992,1601262000
10,GD35D,2020-09-29,40.5,41.35,39.51,40.9,1579448,1601348400
11,GD35D,2020-09-30,40.75,41.01,40.45,40.78,1278136,1601434800
12,GD35D,2020-10-01,41.5,41.5,40.0,40.25,2626406,1601521200
13,GD35D,2020-10-02,40.2,40.2,39.26,39.7,538575,1601607600
14,GD35D,2020-10-05,40.0,40.0,38.6,39.39,825122,1601866800
15,GD35D,2020-10-06,39.35,40.3,39.0,40.1,3148408,1601953200
16,GD35D,2020-10-07,40.01,40.5,39.8,40.3,881801,1602039600
17,GD35D,2020-10-08,40.49,40.5,39.9,40.27,390836,1602126000
18,GD35D,2020-10-09,40.5,41.0,39.62,40.7,1492683,1602212400
19,GD35D,2020-10-13,40.8,41.0,40.2,40.57,2858107,1602558000
20,GD35D,2020-10-14,40.2,40.55,40.0,40.51,1744184,1602644400
21,GD35D,2020-10-15,39.51,40.0,38.9,38.9,2089570,1602730800
22,GD35D,2020-10-16,39.1,39.55,38.8,38.8,1541789,1602817200
23,GD35D,2020-10-19,38.75,39.0,37.75,38.01,879857,1603076400
24,GD35D,2020-10-20,37.5,37.5,36.5,37.0,3698556,1603162800
25,GD35D,2020-10-21,36.5,36.5,36.0,36.3,2508362,1603249200
26,GD35D,2020-10-22,36.0,37.2,35.26,37.2,1119978,1603335600
27,GD35D,2020-10-23,37.45,37.75,36.76,37.75,1854072,1603422000
28,GD35D,2020-10-26,37.0,37.01,36.3,36.48,272400,1603681200
29,GD35D,2020-10-27,36.0,36.48,35.5,35.77,1111252,1603767600
30,GD35D,2020-10-28,35.5,36.5,35.13,36.0,3537885,1603854000
31,GD35D,2020-10-29,36.21,36.21,35.25,35.58,1875426,1603940400
32,GD35D,2020-10-30,35.5,35.6,34.5,35.18,1570320,1604026800
33,GD35D,2020-11-02,34.5,36.5,34.5,35.4,743655,1604286000
34,GD35D,2020-11-03,35.6,37.0,35.5,36.1,1523706,1604372400
35,GD35D,2020-11-04,35.5,37.5,35.5,36.82,3053924,1604458800
